The global sectorial anthropogenic CH4 emissions for 1970-2015 (yearly) were adopted from Emissions Database for Global Atmospheric Research version 6.0 (EDGARv6) (Crippa et al., 2021). The historical emissions for 1890–1960 (decadal) were taken from EDGAR-HYDE v1.4 (Olivier & Berdowski, 2001; van Aardenne et al., 2001). The a priori anthropogenic CH4 emissions in 1750 were specified from Lassey et al. (2007a) for each source category and the CH4 emissions for EDGAR in 1850 were specified by CEDS (Hoesly et al. 2018). 

Reference:
Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Lo Vullo, E., Solazzo, E., et al. (2021). EDGAR v6.0 Greenhouse Gas Emissions. European Commission, Joint Research Centre (JRC) [Dataset]. Retrieved from: http://data.europa.eu/89h/97a67d67-c62e-4826-b873-9d972c4f670b

Olivier, J. G. J., & Berdowski, J. J. M. (2001). Global emissions sources and sinks. In: Berdowski, J., Guicherit, R. and B.J. Heij (eds.) "The Climate System". A.A. Balkema Publishers/Swets & Zeitlinger Publishers, Lisse,
33-78.

van Aardenne, J. A., Dentener, F. J., Olivier, J. G. J., Goldewijk, C. G. M. K., & Lelieveld, J. (2001). A 1°×1° resolution data set of historical anthropogenic trace gas emissions for the period 1890-1990. Global Biogeochemical Cycles, 15(4), 909-928. doi:10.1029/2000gb001265

Lassey, K. R., Etheridge, D. M., Lowe, D. C., Smith, A. M., & Ferretti, D. F. (2007a). Centennial evolution of the atmospheric methane budget: what do the carbon isotopes tell us? Atmospheric Chemistry and Physics, 7(8), 2119-2139. doi:10.5194/acp-7-2119-2007

Hoesly, R. M., Smith, S. J., Feng, L., Klimont, Z., Janssens-Maenhout, G., Pitkanen, T., et al. (2018). Historical (1750–2014) anthropogenic emissions of reactive gases and aerosols from the Community Emissions Data System (CEDS). Geoscientific Model Development, 11(1), 369-408. doi:10.5194/gmd-11-369-2018
------------------------------
yr	rumi	rice	agr	wast	gas	coal	energy	rco	otherff
1700.0 	5.00 	10.00 	15.00 	5.00 	0.00 	0.00 	0.00 	0.00 	0.00 
1750.5 	5.00 	10.00 	15.00 	5.00 	0.00 	0.00 	0.00 	0.00 	0.00 
1850.5 	14.50 	3.36 	17.86 	8.85 	1.35 	0.64 	1.99 	2.60 	0.01 
1890.5 	26.21 	28.56 	54.77 	5.14 	3.94 	6.31 	10.25 	5.28 	0.63 
1900.5 	30.25 	29.98 	60.23 	6.17 	5.99 	9.62 	15.61 	5.95 	0.78 
1910.5 	32.01 	30.08 	62.09 	7.49 	9.49 	15.20 	24.69 	6.62 	0.93 
1920.5 	38.13 	34.02 	72.15 	9.10 	10.85 	17.39 	28.24 	7.29 	1.09 
1930.5 	42.23 	38.13 	80.36 	11.42 	10.69 	17.53 	28.22 	7.97 	1.24 
1940.5 	44.21 	37.79 	81.99 	14.60 	12.19 	19.83 	32.02 	8.64 	1.39 
1950.5 	55.27 	38.41 	93.69 	20.16 	13.02 	21.41 	34.43 	9.31 	1.54 
1960.5 	67.38 	49.39 	116.78 	27.75 	16.52 	27.47 	43.99 	9.98 	1.70 
1970.5	79.68 	47.53 	127.21 	36.33 	37.11 	27.14 	64.25 	10.73 	2.04 
1971.5	81.21 	48.19 	129.40 	38.26 	37.49 	26.14 	63.63 	10.50 	2.00 
1972.5	82.73 	47.21 	129.93 	39.04 	39.50 	26.11 	65.61 	10.62 	2.05 
1973.5	83.90 	47.70 	131.60 	39.87 	42.98 	26.12 	69.10 	10.70 	2.07 
1974.5	85.89 	47.58 	133.47 	40.63 	42.47 	25.72 	68.19 	10.76 	2.05 
1975.5	87.22 	48.07 	135.29 	41.10 	41.49 	26.71 	68.20 	11.21 	2.06 
1976.5	88.14 	47.61 	135.75 	42.01 	42.98 	26.66 	69.63 	11.34 	2.10 
1977.5	88.91 	47.15 	136.05 	42.79 	43.93 	26.77 	70.70 	11.78 	2.08 
1978.5	89.50 	46.19 	135.69 	43.61 	44.15 	27.29 	71.44 	12.02 	2.18 
1979.5	90.43 	44.91 	135.35 	44.44 	46.56 	28.29 	74.85 	12.21 	2.27 
1980.5	91.86 	44.91 	136.77 	45.27 	43.63 	28.08 	71.72 	12.02 	2.13 
1981.5	92.77 	44.25 	137.02 	45.98 	39.22 	27.07 	66.29 	12.16 	2.18 
1982.5	93.92 	42.96 	136.87 	46.73 	38.94 	27.75 	66.69 	12.33 	2.15 
1983.5	94.78 	42.38 	137.16 	47.60 	39.15 	27.28 	66.43 	12.46 	2.21 
1984.5	95.66 	42.25 	137.92 	48.54 	41.00 	27.56 	68.56 	12.79 	2.24 
1985.5	96.32 	41.25 	137.58 	49.46 	42.43 	27.86 	70.29 	13.30 	2.16 
1986.5	97.62 	40.76 	138.38 	50.31 	43.79 	28.49 	72.29 	13.36 	2.23 
1987.5	98.22 	39.54 	137.76 	51.29 	44.94 	28.77 	73.71 	13.61 	2.30 
1988.5	99.22 	39.74 	138.96 	52.24 	47.83 	29.14 	76.98 	13.88 	2.36 
1989.5	101.04 	39.92 	140.97 	53.20 	50.70 	29.54 	80.24 	13.75 	2.35 
1990.5	102.06 	39.11 	141.16 	54.00 	51.39 	29.87 	81.26 	13.64 	2.18 
1991.5	102.19 	38.23 	140.43 	54.92 	50.92 	28.39 	79.31 	13.53 	2.15 
1992.5	102.23 	37.69 	139.91 	55.61 	51.92 	27.82 	79.74 	13.05 	2.04 
1993.5	101.93 	36.48 	138.41 	56.34 	53.28 	26.79 	80.08 	13.21 	1.84 
1994.5	102.72 	36.00 	138.72 	57.20 	55.52 	25.94 	81.46 	12.73 	1.78 
1995.5	103.06 	36.02 	139.08 	58.03 	57.29 	26.79 	84.08 	12.96 	1.74 
1996.5	103.22 	35.79 	139.01 	58.68 	61.33 	26.44 	87.78 	12.00 	1.63 
1997.5	101.41 	35.45 	136.86 	59.42 	61.95 	26.40 	88.35 	12.49 	1.65 
1998.5	101.70 	34.57 	136.27 	59.83 	60.46 	25.64 	86.10 	11.80 	1.62 
1999.5	102.07 	34.99 	137.05 	60.49 	60.41 	25.44 	85.85 	11.78 	1.65 
2000.5	102.60 	33.51 	136.12 	61.60 	63.93 	25.94 	89.87 	11.73 	1.69 
2001.5	102.95 	33.07 	136.02 	61.53 	63.57 	26.93 	90.50 	11.69 	1.66 
2002.5	104.27 	32.73 	137.00 	62.12 	61.83 	27.20 	89.03 	11.62 	1.70 
2003.5	105.71 	32.52 	138.23 	63.22 	66.04 	29.49 	95.53 	11.83 	1.77 
2004.5	107.23 	33.68 	140.91 	64.26 	66.45 	32.09 	98.54 	12.01 	1.87 
2005.5	108.19 	34.69 	142.88 	64.99 	67.34 	34.73 	102.06 	12.02 	1.92 
2006.5	109.59 	35.07 	144.67 	66.60 	68.35 	36.41 	104.76 	12.02 	1.98 
2007.5	111.05 	35.31 	146.36 	67.71 	67.30 	37.86 	105.16 	11.89 	2.02 
2008.5	112.39 	36.47 	148.86 	68.41 	69.26 	38.22 	107.49 	11.88 	2.11 
2009.5	112.94 	36.55 	149.48 	68.69 	67.63 	38.13 	105.77 	11.93 	2.18 
2010.5	113.42 	37.11 	150.53 	69.30 	69.50 	40.28 	109.78 	12.05 	2.25 
2011.5	114.11 	37.26 	151.37 	70.55 	70.45 	44.06 	114.52 	12.02 	2.26 
2012.5	115.32 	37.29 	152.61 	71.47 	71.60 	45.43 	117.03 	11.99 	2.38 
2013.5	116.05 	37.72 	153.77 	72.78 	71.92 	44.62 	116.54 	11.99 	2.43 
2014.5	116.86 	37.45 	154.31 	74.08 	72.51 	45.04 	117.55 	11.95 	2.50 
2015.5	118.08 	37.27 	155.35 	75.40 	73.34 	43.87 	117.21 	11.84 	2.55 
