The global sectorial anthropogenic CH4 emissions for 1850–2014 (decadal until 1970 and yearly afterwards) were adopted from Community Emissions Data System (CEDS) (Hoesly et al. (2018); prepared for Coupled Model Intercomparison Project Phase 6 (CMIP6), v2017-05-18). The a priori anthropogenic CH4 emissions in 1750 were specified from Lassey et al. (2007a) for each source category and the CH4 emissions for CEDS in 2015 were specified by Gidden et al. (2019).

Reference:
Hoesly, R. M., Smith, S. J., Feng, L., Klimont, Z., Janssens-Maenhout, G., Pitkanen, T., et al. (2018). Historical (1750–2014) anthropogenic emissions of reactive gases and aerosols from the Community Emissions Data System (CEDS). Geoscientific Model Development, 11(1), 369-408. doi:10.5194/gmd-11-369-2018

Lassey, K. R., Etheridge, D. M., Lowe, D. C., Smith, A. M., & Ferretti, D. F. (2007a). Centennial evolution of the atmospheric methane budget: what do the carbon isotopes tell us? Atmospheric Chemistry and Physics, 7(8), 2119-2139. doi:10.5194/acp-7-2119-2007

Gidden, M. J., Riahi, K., Smith, S. J., Fujimori, S., Luderer, G., Kriegler, E., et al. (2019). Global emissions pathways under different socioeconomic scenarios for use in CMIP6: a dataset of harmonized emissions trajectories through the end of the century. Geoscientific Model Development, 12(4), 1443-1475. doi:10.5194/gmd-12-1443-2019
------------------------------
yr	rumi	rice	agr	wast	gas	coal	energy	rco	otherff
1700	5.00 	10.00 	15.00 	5.00 	0.00 	0.00 	0.00 	0.00 	0.00 
1750.5	5.00 	10.00 	15.00 	5.00 	0.00 	0.00 	0.00 	0.00 	0.00 
1850.5	14.50 	3.36 	17.86 	8.85 	1.35 	0.64 	1.99 	2.60 	0.01 
1860.5	17.32 	4.01 	21.33 	9.40 	1.49 	0.71 	2.20 	2.72 	0.02 
1870.5	22.55 	5.22 	27.77 	10.02 	2.87 	1.36 	4.23 	3.04 	0.04 
1880.5	27.79 	6.43 	34.22 	11.04 	4.26 	2.02 	6.27 	3.36 	0.06 
1890.5	33.18 	7.68 	40.87 	12.24 	5.68 	2.69 	8.37 	3.69 	0.08 
1900.5	37.03 	8.58 	45.61 	13.50 	8.60 	4.07 	12.67 	4.13 	0.11 
1910.5	38.06 	8.81 	46.87 	15.02 	13.04 	6.17 	19.21 	4.74 	0.15 
1920.5	45.11 	10.44 	55.55 	16.18 	13.82 	6.54 	20.36 	5.17 	0.17 
1930.5	48.70 	11.28 	59.97 	17.86 	16.20 	7.67 	23.86 	5.74 	0.19 
1940.5	50.70 	11.74 	62.43 	19.54 	20.59 	9.75 	30.35 	6.34 	0.24 
1950.5	60.10 	13.92 	74.01 	21.57 	25.22 	11.94 	37.16 	6.98 	0.31 
1960.5	74.75 	17.31 	92.06 	25.32 	40.33 	19.10 	59.43 	8.96 	0.60 
1970.5	82.43 	19.09 	101.51 	29.84 	61.30 	29.03 	90.33 	10.52 	1.06 
1971.5	83.19 	20.25 	103.43 	30.33 	64.34 	27.85 	92.20 	10.63 	1.12 
1972.5	84.57 	19.91 	104.48 	31.12 	66.31 	27.94 	94.25 	10.73 	1.17 
1973.5	85.58 	20.60 	106.18 	31.93 	70.53 	28.00 	98.52 	10.81 	1.22 
1974.5	87.54 	20.75 	108.29 	32.77 	69.59 	27.61 	97.21 	10.86 	1.20 
