Annual mean biomass burning (BB) CH4 emissions

Original file is :
	CH4-em-biomassburning_input4MIPs_emissions_CMIP_VUA-CMIP-BB4CMIP6-1-2_gn_175001-184912
	CH4-em-biomassburning_input4MIPs_emissions_CMIP_VUA-CMIP-BB4CMIP6-1-2_gn_185001-201512

Reference:
van Marle, M. J. E., Kloster, S., Magi, B. I., Marlon, J. R., Daniau, A.-L., Field, R. D., et al. (2017). 
Historic global biomass burning emissions for CMIP6 (BB4CMIP) based on merging satellite observations with 
proxies and fire models (1750–2015). Geoscientific Model Development, 10(9), 3329-3357. doi:10.5194/gmd-10-3329-2017

fyr	BB emissions (Tg/yr)
---------------------
1699.5	11.312
1700.5	11.312
1750.5	11.312
1751.5	11.099
1752.5	10.963
1753.5	11.082
1754.5	11.352
1755.5	11.232
1756.5	11.077
1757.5	11.522
1758.5	11.311
1759.5	11.399
1760.5	11.549
1761.5	11.463
1762.5	11.332
1763.5	11.294
1764.5	10.883
1765.5	11.407
1766.5	11.207
1767.5	11.218
1768.5	11.74
1769.5	11.435
1770.5	11.432
1771.5	11.084
1772.5	10.903
1773.5	10.955
1774.5	11.464
1775.5	11.257
1776.5	11.044
1777.5	11.316
1778.5	11.442
1779.5	11.249
1780.5	11.509
1781.5	11.347
1782.5	11.271
1783.5	11.137
1784.5	10.881
1785.5	11.213
1786.5	11.065
1787.5	11.23
1788.5	11.726
1789.5	11.4
1790.5	11.438
1791.5	11.085
1792.5	10.932
1793.5	10.948
1794.5	11.48
1795.5	11.288
1796.5	11.051
1797.5	11.336
1798.5	11.439
1799.5	11.388
1800.5	11.52
1801.5	11.37
1802.5	11.362
1803.5	11.116
1804.5	11.034
1805.5	11.287
1806.5	11.235
1807.5	11.322
1808.5	11.806
1809.5	11.502
1810.5	11.55
1811.5	11.28
1812.5	11.038
1813.5	11.137
1814.5	11.638
1815.5	11.471
1816.5	11.356
1817.5	11.483
1818.5	11.691
1819.5	11.569
1820.5	11.769
1821.5	11.668
1822.5	11.586
1823.5	11.307
1824.5	11.302
1825.5	11.469
1826.5	11.38
1827.5	11.473
1828.5	11.996
1829.5	11.686
1830.5	11.744
1831.5	11.383
1832.5	11.232
1833.5	11.306
1834.5	11.734
1835.5	11.506
1836.5	11.512
1837.5	11.604
1838.5	11.775
1839.5	11.673
1840.5	11.669
1841.5	11.779
1842.5	11.626
1843.5	11.264
1844.5	11.256
1845.5	11.475
1846.5	11.368
1847.5	11.593
1848.5	12.002
1849.5	11.754
1850.5	11.827
1851.5	11.402
1852.5	11.159
1853.5	11.262
1854.5	11.747
1855.5	11.462
1856.5	11.391
1857.5	11.648
1858.5	11.738
1859.5	11.713
1860.5	11.702
1861.5	11.618
1862.5	11.57
1863.5	11.204
1864.5	11.212
1865.5	11.587
1866.5	11.41
1867.5	11.662
1868.5	12.063
1869.5	11.664
1870.5	11.884
1871.5	11.478
1872.5	11.106
1873.5	11.553
1874.5	11.834
1875.5	11.41
1876.5	11.581
1877.5	11.64
1878.5	11.72
1879.5	11.927
1880.5	11.704
1881.5	11.716
1882.5	11.558
1883.5	11.135
1884.5	11.4
1885.5	11.496
1886.5	11.442
1887.5	11.609
1888.5	11.911
1889.5	11.699
1890.5	11.818
1891.5	11.348
1892.5	11.134
1893.5	11.325
1894.5	11.814
1895.5	11.587
1896.5	11.28
1897.5	11.597
1898.5	11.489
1899.5	11.755
1900.5	11.586
1901.5	11.369
1902.5	11.244
1903.5	10.875
1904.5	11.343
1905.5	11.392
1906.5	11.244
1907.5	11.559
1908.5	11.712
1909.5	11.472
1910.5	11.779
1911.5	11.294
1912.5	10.986
1913.5	11.185
1914.5	11.708
1915.5	11.339
1916.5	11.228
1917.5	11.434
1918.5	11.593
1919.5	11.797
1920.5	11.69
1921.5	11.347
1922.5	11.003
1923.5	11.753
1924.5	11.111
1925.5	11.131
1926.5	10.982
1927.5	11.166
1928.5	11.195
1929.5	11.4
1930.5	12.028
1931.5	11.14
1932.5	11.526
1933.5	11.322
1934.5	11.802
1935.5	11.617
1936.5	12.062
1937.5	11.65
1938.5	11.247
1939.5	11.717
1940.5	11.224
1941.5	11.194
1942.5	11.568
1943.5	11.381
1944.5	11.569
1945.5	11.55
1946.5	11.121
1947.5	11.095
1948.5	11.458
1949.5	12.291
1950.5	12.156
1951.5	10.595
1952.5	11.261
1953.5	11.736
1954.5	11.795
1955.5	11.53
1956.5	12.834
1957.5	13.585
1958.5	11.276
1959.5	10.944
1960.5	10.884
1961.5	14.082
1962.5	11.456
1963.5	15.756
1964.5	11.422
1965.5	12.848
1966.5	11.797
1967.5	13.128
1968.5	11.439
1969.5	10.597
1970.5	11.141
1971.5	11.561
1972.5	15.454
1973.5	11.612
1974.5	11.455
1975.5	10.939
1976.5	11.944
1977.5	12.032
1978.5	11.797
1979.5	11.931
1980.5	11.966
1981.5	11.506
1982.5	18.106
1983.5	10.803
1984.5	11.624
1985.5	11.842
1986.5	12.038
1987.5	14.262
1988.5	12.346
1989.5	11.363
1990.5	12.859
1991.5	27.466
1992.5	11.262
1993.5	12.77
1994.5	22.865
1995.5	13.415
1996.5	12.322
1997.5	35.83
1998.5	19.795
1999.5	13.773
2000.5	11.312
2001.5	11.285
2002.5	18.097
2003.5	15.313
2004.5	15.521
2005.5	15.346
2006.5	19.552
2007.5	13.798
2008.5	11.584
2009.5	14.22
2010.5	13.845
2011.5	12.092
2012.5	14.278
2013.5	11.816
2014.5	16.673
2015.5	21.752
