The global sectorial anthropogenic CH4 emissions for 1970-2015 (yearly) were adopted from Emissions Database for Global Atmospheric Research version 5.0 (EDGARv5) (Crippa et al., 2020). The historical emissions for 1890–1960 (decadal) were taken from EDGAR-HYDE v1.4 (Olivier & Berdowski, 2001; van Aardenne et al., 2001). The a priori anthropogenic CH4 emissions in 1750 were specified from Lassey et al. (2007a) for each source category and the CH4 emissions for EDGAR in 1850 were specified by CEDS (Hoesly et al. 2018). 

Reference:
Crippa, M., Solazzo, E., Huang, G., Guizzardi, D., Koffi, E., Muntean, M., et al. (2020). High resolution temporal profiles in the Emissions Database for Global Atmospheric Research. Earth Syst. Sci. Data, 7(1), 121. doi:10.1038/s41597-020-0462-2

Olivier, J. G. J., & Berdowski, J. J. M. (2001). Global emissions sources and sinks. In: Berdowski, J., Guicherit, R. and B.J. Heij (eds.) "The Climate System". A.A. Balkema Publishers/Swets & Zeitlinger Publishers, Lisse,
33-78.

van Aardenne, J. A., Dentener, F. J., Olivier, J. G. J., Goldewijk, C. G. M. K., & Lelieveld, J. (2001). A 1°×1° resolution data set of historical anthropogenic trace gas emissions for the period 1890-1990. Global Biogeochemical Cycles, 15(4), 909-928. doi:10.1029/2000gb001265

Lassey, K. R., Etheridge, D. M., Lowe, D. C., Smith, A. M., & Ferretti, D. F. (2007a). Centennial evolution of the atmospheric methane budget: what do the carbon isotopes tell us? Atmospheric Chemistry and Physics, 7(8), 2119-2139. doi:10.5194/acp-7-2119-2007

Hoesly, R. M., Smith, S. J., Feng, L., Klimont, Z., Janssens-Maenhout, G., Pitkanen, T., et al. (2018). Historical (1750–2014) anthropogenic emissions of reactive gases and aerosols from the Community Emissions Data System (CEDS). Geoscientific Model Development, 11(1), 369-408. doi:10.5194/gmd-11-369-2018
------------------------------
yr	rumi	rice	agr	wast	gas	coal	energy	rco	otherff
1700.0 	5.00 	10.00 	15.00 	5.00 	0.00 	0.00 	0.00 	0.00 	0.00 
1750.5 	5.00 	10.00 	15.00 	5.00 	0.00 	0.00 	0.00 	0.00 	0.00 
1850.5 	14.50 	3.36 	17.86 	8.85 	1.35 	0.64 	1.99 	2.60 	0.01 
1890.5 	26.21 	28.56 	54.77 	5.14 	3.94 	6.31 	10.25 	5.28 	0.63 
1900.5 	30.25 	29.98 	60.23 	6.17 	5.99 	9.62 	15.61 	5.95 	0.78 
1910.5 	32.01 	30.08 	62.09 	7.49 	9.49 	15.20 	24.69 	6.62 	0.93 
1920.5 	38.13 	34.02 	72.15 	9.10 	10.85 	17.39 	28.24 	7.29 	1.09 
1930.5 	42.23 	38.13 	80.36 	11.42 	10.69 	17.53 	28.22 	7.97 	1.24 
1940.5 	44.21 	37.79 	81.99 	14.60 	12.19 	19.83 	32.02 	8.64 	1.39 
1950.5 	55.27 	38.41 	93.69 	20.16 	13.02 	21.41 	34.43 	9.31 	1.54 
1960.5 	67.38 	49.39 	116.78 	27.75 	16.52 	27.47 	43.99 	9.98 	1.70 
1970.5 	79.05 	47.53 	126.58 	40.83 	65.52 	21.32 	86.85 	10.65 	1.85 
1971.5 	80.55 	48.19 	128.74 	43.66 	71.96 	20.45 	92.41 	10.42 	1.81 
1972.5 	82.05 	47.20 	129.26 	44.49 	79.17 	20.37 	99.53 	10.53 	1.83 
1973.5 	83.21 	47.70 	130.91 	45.36 	92.32 	20.38 	112.70 	10.62 	1.85 
1974.5 	85.18 	47.58 	132.75 	46.16 	92.60 	19.98 	112.58 	10.67 	1.83 
1975.5 	86.49 	48.06 	134.56 	46.67 	84.33 	20.96 	105.29 	11.12 	1.83 
1976.5 	87.42 	47.60 	135.02 	47.63 	96.57 	20.87 	117.44 	11.26 	1.83 
1977.5 	88.18 	47.14 	135.32 	48.45 	93.83 	21.10 	114.93 	11.69 	1.80 
1978.5 	88.76 	46.19 	134.95 	49.31 	95.82 	27.24 	123.06 	11.92 	1.89 
1979.5 	89.68 	44.91 	134.59 	50.17 	91.24 	28.24 	119.49 	12.10 	1.95 
1980.5 	91.11 	44.91 	136.02 	51.01 	82.55 	28.04 	110.59 	11.92 	1.78 
1981.5 	92.02 	44.25 	136.27 	51.76 	66.49 	27.03 	93.52 	12.06 	1.82 
1982.5 	93.15 	42.95 	136.10 	52.56 	65.18 	27.72 	92.90 	12.22 	1.78 
1983.5 	94.00 	42.38 	136.38 	53.45 	62.31 	27.24 	89.55 	12.45 	1.83 
1984.5 	94.87 	42.25 	137.12 	54.43 	58.94 	27.53 	86.47 	12.78 	1.84 
1985.5 	95.53 	41.25 	136.78 	55.29 	59.29 	27.83 	87.12 	13.29 	1.79 
1986.5 	96.82 	40.75 	137.58 	56.25 	58.46 	28.46 	86.91 	13.41 	1.84 
1987.5 	97.40 	39.54 	136.94 	57.30 	56.31 	28.74 	85.04 	13.67 	1.88 
1988.5 	98.41 	39.74 	138.15 	58.31 	63.06 	29.10 	92.16 	13.94 	1.95 
1989.5 	100.22 	39.92 	140.15 	59.35 	63.88 	29.48 	93.37 	13.82 	1.94 
1990.5 	101.24 	39.10 	140.35 	59.71 	61.50 	28.69 	90.18 	13.85 	2.13 
1991.5 	101.23 	38.58 	139.81 	60.68 	61.87 	27.42 	89.29 	13.75 	2.10 
1992.5 	101.78 	37.69 	139.47 	61.39 	63.16 	26.94 	90.10 	13.29 	1.99 
1993.5 	101.72 	36.47 	138.19 	62.32 	63.84 	26.06 	89.90 	13.46 	1.78 
1994.5 	102.48 	36.00 	138.48 	63.05 	65.03 	25.34 	90.37 	12.91 	1.72 
1995.5 	102.81 	36.02 	138.83 	63.68 	63.86 	26.31 	90.17 	13.14 	1.69 
1996.5 	102.94 	35.79 	138.73 	64.77 	66.15 	26.00 	92.15 	12.19 	1.61 
1997.5 	101.13 	35.45 	136.58 	65.70 	63.65 	25.93 	89.58 	12.72 	1.58 
1998.5 	101.41 	34.57 	135.98 	65.62 	59.03 	25.23 	84.26 	12.04 	1.53 
1999.5 	101.75 	34.99 	136.74 	66.01 	57.07 	25.14 	82.21 	12.01 	1.57 
2000.5 	102.29 	33.51 	135.80 	66.58 	57.17 	25.67 	82.83 	11.97 	1.63 
2001.5 	102.60 	33.07 	135.67 	65.66 	56.67 	26.63 	83.30 	11.92 	1.60 
2002.5 	103.89 	32.73 	136.62 	65.86 	56.20 	26.87 	83.06 	11.85 	1.63 
2003.5 	105.30 	32.52 	137.82 	67.17 	59.13 	29.16 	88.28 	12.08 	1.69 
2004.5 	106.79 	33.68 	140.47 	68.41 	60.32 	31.66 	91.98 	12.26 	1.80 
2005.5 	107.71 	34.69 	142.40 	69.04 	60.74 	34.32 	95.05 	12.33 	1.82 
2006.5 	109.07 	35.07 	144.14 	70.94 	62.67 	36.05 	98.71 	12.43 	1.88 
2007.5 	110.50 	35.31 	145.81 	72.22 	62.37 	37.47 	99.85 	12.29 	1.93 
2008.5 	111.80 	36.47 	148.28 	72.83 	63.71 	37.83 	101.54 	12.31 	2.08 
2009.5 	112.49 	36.55 	149.04 	72.13 	62.43 	37.84 	100.27 	12.33 	2.17 
2010.5 	113.24 	37.10 	150.35 	73.69 	65.48 	40.00 	105.48 	12.44 	2.23 
2011.5 	114.01 	37.26 	151.27 	75.39 	66.94 	42.92 	109.86 	12.34 	2.23 
2012.5 	115.08 	37.23 	152.31 	75.37 	69.32 	44.49 	113.81 	12.37 	2.35 
2013.5 	115.82 	37.63 	153.45 	76.30 	70.03 	45.61 	115.64 	12.37 	2.41 
2014.5 	116.65 	37.27 	153.92 	77.33 	72.13 	46.49 	118.62 	12.42 	2.46 
2015.5 	117.82 	36.85 	154.66 	78.04 	72.89 	45.37 	118.26 	12.52 	2.50 
